iter	Passed	Remaining
0	23	4606
1	43	4274
2	61	4021
3	79	3875
4	97	3799
5	115	3745
6	133	3689
7	152	3659
8	170	3620
9	188	3586
10	208	3577
11	231	3631
12	255	3674
13	280	3720
14	307	3796
15	331	3807
16	355	3827
17	378	3823
18	400	3812
19	423	3814
20	449	3832
21	477	3862
22	496	3819
23	514	3772
24	533	3734
25	558	3739
26	578	3708
27	597	3671
28	616	3634
29	634	3596
30	655	3574
31	675	3548
32	694	3516
33	713	3485
34	732	3454
35	750	3419
36	769	3390
37	789	3365
38	808	3337
39	826	3306
40	844	3274
41	866	3259
42	888	3244
43	907	3216
44	925	3186
45	943	3157
46	961	3129
47	980	3106
48	1001	3085
49	1019	3058
50	1038	3033
51	1056	3007
52	1079	2994
53	1107	2994
54	1131	2983
55	1152	2962
56	1174	2947
57	1194	2925
58	1214	2901
59	1232	2875
60	1252	2853
61	1271	2829
62	1292	2811
63	1315	2795
64	1335	2773
65	1354	2749
66	1373	2725
67	1391	2702
68	1410	2677
69	1429	2654
70	1447	2630
71	1467	2608
72	1486	2585
73	1509	2570
74	1534	2556
75	1560	2545
76	1589	2538
77	1614	2525
78	1644	2518
79	1670	2505
80	1699	2496
81	1726	2484
82	1751	2468
83	1777	2454
84	1796	2430
85	1816	2407
86	1834	2382
87	1852	2357
88	1871	2333
89	1890	2310
90	1908	2285
91	1926	2262
92	1950	2243
93	1969	2220
94	1988	2198
95	2007	2174
96	2026	2151
97	2045	2129
98	2065	2106
99	2084	2084
100	2103	2061
101	2121	2038
102	2142	2017
103	2163	1997
104	2183	1975
105	2201	1952
106	2220	1929
107	2241	1909
108	2259	1886
109	2278	1864
110	2298	1842
111	2316	1819
112	2335	1798
113	2354	1776
114	2374	1755
115	2393	1733
116	2413	1712
117	2432	1690
118	2451	1668
119	2471	1647
120	2490	1625
121	2509	1604
122	2528	1582
123	2553	1565
124	2575	1545
125	2596	1524
126	2614	1502
127	2632	1480
128	2654	1461
129	2672	1439
130	2694	1419
131	2713	1397
132	2731	1375
133	2750	1354
134	2781	1339
135	2806	1320
136	2831	1302
137	2853	1281
138	2875	1262
139	2899	1242
140	2919	1221
141	2937	1199
142	2956	1178
143	2974	1156
144	2993	1135
145	3013	1114
146	3033	1093
147	3052	1072
148	3074	1052
149	3096	1032
150	3119	1012
151	3146	993
152	3176	975
153	3197	955
154	3221	935
155	3242	914
156	3262	893
157	3283	872
158	3307	852
159	3327	831
160	3347	810
161	3370	790
162	3390	769
163	3427	752
164	3460	733
165	3491	715
166	3540	699
167	3571	680
168	3601	660
169	3628	640
170	3662	621
171	3695	601
172	3739	583
173	3769	563
174	3792	541
175	3822	521
176	3856	501
177	3889	480
178	3917	459
179	3945	438
180	3968	416
181	3997	395
182	4033	374
183	4062	353
184	4086	331
185	4113	309
186	4138	287
187	4160	265
188	4182	243
189	4203	221
190	4229	199
191	4249	177
192	4271	154
193	4292	132
194	4327	110
195	4373	89
196	4464	67
197	4515	45
198	4580	23
199	4626	0
